player_id,full_name,position,date,category,week,season,season_type,sport,player,team_x,game_id,company,opponent,team_y,age,status,stat_adp_dd_ppr
11616,Jacob Cowing,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Jacob', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Cowing', 'metadata': {'channel_id': '1113708878039642112', 'genius_id': '1463984', 'rookie_year': '2024'}, 'news_updated': 1768686919766, 'position': 'WR', 'team': 'SF', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",SF,,rotowire,,SF,25.0,Inactive,1000.0
5965,Miles Boykin,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Miles', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Boykin', 'metadata': {'channel_id': '1113708680123019264', 'genius_id': '1009895', 'rookie_year': '2019'}, 'news_updated': 1762648203794, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 6}",,,rotowire,,,29.0,Active,1000.0
13064,Dorian Singer,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Dorian', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Singer', 'metadata': {'channel_id': '1223134688898461697', 'rookie_year': '2025'}, 'news_updated': 1756503628936, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 1}",,,rotowire,,,23.0,Active,1000.0
4992,Dante Pettis,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Dante', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Pettis', 'metadata': {'channel_id': '1113708761173749761', 'genius_id': '1005698', 'rookie_year': '2018'}, 'news_updated': 1767635411591, 'position': 'WR', 'team': 'NO', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 8}",NO,,rotowire,,NO,30.0,Active,1000.0
11155,Christian Sims,TE,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['TE'], 'first_name': 'Christian', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Sims', 'metadata': {'channel_id': '1116852657747656704'}, 'news_updated': 1693254649926, 'position': 'TE', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 1}",,,rotowire,,,22.0,Active,1000.0
9504,Kayshon Boutte,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Kayshon', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Boutte', 'metadata': {'channel_id': '1113708794036121600', 'genius_id': '1399247', 'rookie_year': '2023'}, 'news_updated': 1770500759979, 'position': 'WR', 'team': 'NE', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",NE,,rotowire,,NE,23.0,Active,1000.0
4828,Rashard Davis,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Rashard', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Davis', 'metadata': {'channel_id': '1116853028188585984'}, 'news_updated': 1660682432289, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 5}",,,rotowire,,,26.0,Active,1000.0
4396,Drew Morgan,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Drew', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Morgan', 'metadata': {'channel_id': '1116852960572211200'}, 'news_updated': 1515031201931, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 5}",,,rotowire,,,27.0,Active,1000.0
4038,John Ross,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'John', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Ross', 'metadata': {'channel_id': '1113708717100003328', 'rookie_year': '2017'}, 'news_updated': 1733328318057, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 7}",,,rotowire,,,29.0,Active,1000.0
12507,Omarion Hampton,RB,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['RB'], 'first_name': 'Omarion', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Hampton', 'metadata': {'channel_id': '1221352943668699136', 'genius_id': '1499136', 'injury_override_regular_2025_5': 'IR', 'injury_override_regular_2025_6': 'IR', 'rookie_year': '2025', 'source_id': '655f27c0-91f6-11ec-9587-0f8fa2cff168'}, 'news_updated': 1769536541012, 'position': 'RB', 'team': 'LAC', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 1}",LAC,,rotowire,,LAC,22.0,Active,1000.0
11439,Jaleel McLaughlin,RB,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['RB'], 'first_name': 'Jaleel', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'McLaughlin', 'metadata': {'channel_id': '1113708825132691457', 'genius_id': '1401670', 'rookie_year': '2023'}, 'news_updated': 1769385057661, 'position': 'RB', 'team': 'DEN', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",DEN,,rotowire,,DEN,25.0,Active,1000.0
11282,Johnny King,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Johnny', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'King', 'metadata': {'channel_id': '1116852672087982080'}, 'news_updated': 1693347910321, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 1}",,,rotowire,,,23.0,Active,1000.0
3730,Tevin Jones,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Tevin', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Jones', 'metadata': {'channel_id': '1116852901101174784'}, 'news_updated': 1627875617715, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 6}",,,rotowire,,,29.0,Active,1000.0
13302,Adam Randall,RB,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['RB'], 'first_name': 'Adam', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Randall', 'metadata': {'source_id': '59dfdcc0-8b5f-11ec-84cd-2d772b2010bf'}, 'news_updated': None, 'position': 'RB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 0}",,,rotowire,,,,Active,1000.0
5718,Ryan Yurachek,TE,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['TE'], 'first_name': 'Ryan', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Yurachek', 'metadata': {'channel_id': '1116853151085887488'}, 'news_updated': 1578677115320, 'position': 'TE', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 4}",,,rotowire,,,25.0,Active,1000.0
