Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
37.0,Robert Kelley (FA),132.6,8.8,0.0,15.0,RB,00-0032371,2016,4.2,6.0,6.8,1.0,0.0%,168.0,704,242.0,1.4,462.0,2.8,7.0,16.0,-30.0,22.0,15.0,4.0,2.0,2.0,1.0,12.0,18.0,1.0,19.0,78.0,36.0,11.0,186.0
38.0,Matt Asiata (FA),132.5,8.3,1.0,16.0,RB,00-0028198,2016,3.3,6.0,8.2,0.0,0.0%,121.0,402,235.0,1.9,167.0,1.4,2.0,8.0,-9.0,5.0,5.0,2.0,0.0,0.0,0.0,32.0,38.0,1.0,59.0,246.0,39.0,20.0,159.0
39.0,Tim Hightower (FA),126.8,7.9,0.0,16.0,RB,00-0026289,2016,4.1,4.0,9.1,1.0,0.0%,133.0,548,357.0,2.7,191.0,1.4,0.0,9.0,-19.0,4.0,10.0,4.0,1.0,0.0,0.0,22.0,26.0,2.0,46.0,210.0,33.0,15.0,159.0
40.0,Mike Gillislee (FA),125.7,8.4,0.0,15.0,RB,00-0030433,2016,5.7,8.0,5.6,1.0,0.0%,101.0,577,237.0,2.3,340.0,3.4,5.0,7.0,-20.0,44.0,16.0,7.0,2.0,1.0,0.0,9.0,11.0,1.0,15.0,44.0,20.0,11.0,112.0
41.0,Giovani Bernard (FA),122.3,12.2,1.0,10.0,RB,00-0030456,2016,3.7,2.0,8.6,1.0,0.0%,91.0,337,147.0,1.6,190.0,2.1,4.0,6.0,-12.0,8.0,7.0,0.0,0.0,0.0,0.0,39.0,51.0,3.0,73.0,250.0,19.0,3.0,142.0
42.0,Jalen Richard (FA),115.5,7.2,0.0,16.0,RB,00-0033025,2016,5.9,1.0,6.7,2.0,0.0%,83.0,491,256.0,3.1,235.0,2.8,2.0,6.0,-14.0,75.0,10.0,5.0,1.0,1.0,1.0,29.0,39.0,2.0,46.0,137.0,10.0,1.0,122.0
43.0,Shaun Draughn (FA),108.9,6.8,1.0,16.0,RB,00-0028202,2016,2.6,4.0,9.1,2.0,0.0%,74.0,196,76.0,1.0,120.0,1.6,1.0,9.0,-26.0,4.0,4.0,0.0,0.0,0.0,0.0,29.0,39.0,3.0,25.0,186.0,14.0,5.0,113.0
44.0,Robert Turbin (FA),108.3,7.2,0.0,15.0,RB,00-0029273,2016,3.5,7.0,6.9,1.0,0.0%,47.0,164,57.0,1.2,107.0,2.3,2.0,3.0,-4.0,7.0,2.0,0.0,0.0,0.0,0.0,26.0,35.0,2.0,65.0,218.0,24.0,13.0,82.0
45.0,Derrick Henry (BAL),105.7,7.0,0.0,15.0,RB,00-0032764,2016,4.5,5.0,10.5,0.0,99.8%,110.0,490,249.0,2.3,241.0,2.2,4.0,8.0,-18.0,11.0,13.0,1.0,0.0,0.0,0.0,13.0,15.0,2.0,81.0,124.0,25.0,4.0,125.0
46.0,C.J. Anderson (FA),102.5,14.6,0.0,7.0,RB,00-0029854,2016,4.0,4.0,8.0,1.0,0.0%,110.0,437,263.0,2.4,174.0,1.6,3.0,12.0,-19.0,7.0,16.0,1.0,0.0,0.0,0.0,16.0,24.0,1.0,36.0,104.0,25.0,9.0,134.0
47.0,Kenneth Dixon (FA),102.4,8.5,0.0,12.0,RB,00-0032411,2016,4.3,2.0,5.4,1.0,0.1%,88.0,382,166.0,1.9,216.0,2.5,10.0,13.0,-24.0,16.0,12.0,1.0,0.0,0.0,0.0,30.0,41.0,1.0,70.0,186.0,10.0,2.0,129.0
48.0,DeAngelo Williams (FA),100.1,11.1,0.0,9.0,RB,00-0024242,2016,3.5,4.0,6.6,2.0,0.1%,98.0,343,194.0,2.0,149.0,1.5,3.0,7.0,-18.0,15.0,8.0,0.0,0.0,0.0,0.0,18.0,27.0,2.0,54.0,167.0,20.0,9.0,125.0
