Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,season_yprr,routes_run_yprr,yprr,season_routes,posteam,routes_run_routes,TPRR,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,Season yards per route run (YPRR),Routes run YPRR,Yards per route run (YPRR),Season routes,Posteam,Routes run (routes),Targets per route run (TPRR),0.0
22.0,Rashad Jennings (FA),164.9,10.3,2.0,16.0,RB,00-0027155,2015,4.4,3.0,10.2,1.0,0.0%,195.0,863,307.0,1.6,556.0,2.9,5.0,17.0,-45.0,38.0,18.0,6.0,2.0,0.0,0.0,29.0,40.0,1.0,125.0,310.0,21.0,6.0,2015.0,40.0,7.4,2015.0,NYG,40.0,1.0,235.0
24.0,Jonathan Stewart (FA),162.8,12.5,2.0,13.0,RB,00-0026153,2015,4.1,6.0,6.2,1.0,0.0%,242.0,989,362.0,1.5,627.0,2.6,6.0,26.0,-70.0,16.0,24.0,4.0,2.0,1.0,0.0,16.0,21.0,2.0,39.0,119.0,58.0,17.0,,,,,,,,263.0
25.0,Ronnie Hillman (FA),161.4,10.1,1.0,16.0,RB,00-0029683,2015,4.2,7.0,4.6,0.0,0.0%,207.0,863,359.0,1.7,504.0,2.4,3.0,24.0,-52.0,72.0,23.0,5.0,1.0,1.0,1.0,24.0,35.0,5.0,24.0,123.0,42.0,11.0,2015.0,39.0,3.0256410256410255,2015.0,DEN,39.0,1.0,242.0
26.0,Shane Vereen (FA),158.4,9.9,0.0,16.0,RB,00-0027994,2015,4.3,0.0,8.4,4.0,0.0%,61.0,260,111.0,1.8,149.0,2.4,5.0,6.0,-18.0,0.0,7.0,1.0,1.0,0.0,0.0,59.0,81.0,11.0,95.0,421.0,20.0,5.0,2015.0,81.0,6.098765432098766,2015.0,NYG,81.0,1.0,142.0
27.0,T.J. Yeldon (FA),155.9,13.0,0.0,12.0,RB,00-0032209,2015,4.1,2.0,7.8,1.0,0.0%,182.0,740,318.0,1.7,422.0,2.3,15.0,22.0,-38.0,28.0,18.0,4.0,2.0,1.0,0.0,36.0,46.0,4.0,101.0,298.0,28.0,7.0,2015.0,46.0,6.065217391304348,2015.0,JAX,46.0,1.0,228.0
28.0,Darren Sproles (FA),149.5,9.3,0.0,16.0,RB,00-0023564,2015,3.8,3.0,7.1,1.0,0.1%,83.0,317,137.0,1.7,180.0,2.2,1.0,13.0,-38.0,6.0,10.0,1.0,0.0,0.0,0.0,55.0,83.0,5.0,57.0,359.0,16.0,2.0,2015.0,83.0,4.674698795180723,2015.0,PHI,83.0,1.0,166.0
29.0,Jeremy Langford (FA),147.6,9.2,0.0,16.0,RB,00-0031569,2015,3.6,6.0,12.7,1.0,0.0%,148.0,537,267.0,1.8,270.0,1.8,1.0,13.0,-27.0,6.0,11.0,1.0,0.0,0.0,0.0,22.0,42.0,7.0,30.0,228.0,27.0,10.0,2015.0,42.0,6.642857142857143,2015.0,CHI,42.0,1.0,190.0
30.0,Javorius Allen (FA),145.7,9.1,2.0,16.0,RB,00-0031577,2015,3.8,1.0,7.8,2.0,0.1%,137.0,514,234.0,1.7,280.0,2.0,5.0,11.0,-28.0,3.0,12.0,2.0,1.0,1.0,0.0,45.0,62.0,10.0,73.0,304.0,32.0,9.0,2015.0,62.0,5.532258064516129,2015.0,BAL,62.0,1.0,199.0
31.0,C.J. Anderson (FA),141.3,9.4,2.0,15.0,RB,00-0029854,2015,4.7,5.0,7.3,0.0,0.0%,152.0,720,272.0,1.8,448.0,2.9,9.0,12.0,-21.0,48.0,21.0,5.0,2.0,1.0,0.0,25.0,36.0,3.0,55.0,177.0,36.0,9.0,2015.0,46.0,4.826086956521739,2015.0,DEN,46.0,1.0,188.0
32.0,Eddie Lacy (FA),140.6,9.4,2.0,15.0,RB,00-0030485,2015,4.1,3.0,9.4,2.0,0.3%,187.0,758,255.0,1.4,503.0,2.7,9.0,23.0,-42.0,2.0,19.0,4.0,0.0,0.0,0.0,20.0,28.0,2.0,60.0,222.0,24.0,9.0,2015.0,30.0,6.333333333333333,2015.0,GB,30.0,1.0,215.0
