Rank,Player,Fantasy Points,Fantasy Points/Game,Passing TD,Interceptions,Passing Yards (Advanced),Completion % (Advanced),Yards/Attempt (Advanced),CPOE,Completions (Advanced),Pass Attempts (Advanced),Air Yards,Air Yards/Attempt,Completions 10+ Yards,Completions 20+ Yards,Completions 30+ Yards,Completions 40+ Yards,Completions 50+ Yards,Red Zone Attempts,QB Rating,Pocket Time,Sacks (Advanced),pressure_to_sack,QB Hits/Knockdowns,QB Hurries,Blitzes Faced,Poor Throws,Receiver Drops,Rushing TD,Rushing Yards,Rushing Attempts,Fumbles Lost,Games Played (Advanced),player_id,Year,pressures,Completions,Rostered %,Position,passer_player_id,passer_player_name,season_yac_metrics_2022,receiver_player_id_yac_metrics_2022,receiver_player_name_yac_metrics_2022,yac_yac_metrics_2022
10.0,Kyler Murray (ARI),310.5,22.2,24.0,10.0,"3,787",69%,7.8,2.8737195724188833,333.0,481.0,"2,290",4.7,146.0,49.0,23.0,9.0,2.0,72.0,103.0,2.4,31.0,0.6875,13.0,68.0,108.0,61.0,16.0,5.0,423.0,88.0,0.0,14.0,00-0035228,2021,48.0,333.0,87.5%,QB,00-0035228,K.Murray,,,,
11.0,Kirk Cousins (ATL),307.3,19.2,33.0,7.0,"4,221",66%,7.5,1.3502727035481557,372.0,561.0,"2,677",4.8,160.0,60.0,20.0,10.0,4.0,71.0,102.0,2.4,28.0,0.3111111111111111,65.0,70.0,169.0,92.0,22.0,1.0,115.0,29.0,2.0,16.0,00-0029604,2021,90.0,372.0,0.6%,QB,00-0029604,K.Cousins,2022.0,00-0029604,K.Cousins,4.0
12.0,Ryan Tannehill (FA),282.3,16.6,21.0,14.0,"3,734",67%,7.0,2.245726681985022,357.0,531.0,"2,195",4.1,169.0,35.0,10.0,7.0,3.0,79.0,92.0,2.3,47.0,0.4102564102564102,66.0,32.0,166.0,83.0,23.0,7.0,270.0,55.0,4.0,17.0,00-0029701,2021,117.0,357.0,0.0%,QB,00-0029701,R.Tannehill,,,,
13.0,Derek Carr (FA),270.6,15.9,23.0,14.0,"4,804",68%,7.7,1.5717612550808764,428.0,626.0,"2,806",4.5,187.0,67.0,26.0,10.0,5.0,76.0,94.0,2.5,40.0,0.4673913043478261,48.0,63.0,166.0,93.0,26.0,0.0,108.0,40.0,5.0,17.0,00-0031280,2021,92.0,428.0,0.8%,QB,00-0031280,D.Carr,,,,
14.0,Carson Wentz (FA),264.9,15.6,27.0,7.0,"3,563",62%,6.9,-2.120752626621498,322.0,516.0,"2,145",4.2,137.0,42.0,18.0,9.0,5.0,67.0,95.0,2.5,32.0,0.3047619047619048,72.0,46.0,156.0,93.0,25.0,1.0,215.0,57.0,5.0,17.0,00-0032950,2021,105.0,322.0,0.0%,QB,00-0032950,C.Wentz,,,,
15.0,Lamar Jackson (BAL),253.0,21.1,16.0,13.0,"2,882",64%,7.5,0.6794994812448689,246.0,382.0,"1,828",4.8,112.0,41.0,13.0,5.0,0.0,47.0,85.0,2.5,38.0,0.5671641791044776,28.0,39.0,152.0,72.0,19.0,2.0,767.0,134.0,3.0,12.0,00-0034796,2021,67.0,246.0,99.8%,QB,00-0034796,L.Jackson,,,,
16.0,Russell Wilson (NYG),248.7,17.8,25.0,6.0,"3,113",65%,7.8,3.1963339471137493,259.0,400.0,"1,927",4.8,113.0,45.0,19.0,10.0,7.0,45.0,104.0,2.4,33.0,0.4177215189873418,41.0,49.0,113.0,72.0,16.0,2.0,183.0,43.0,1.0,14.0,00-0029263,2021,79.0,259.0,2.5%,QB,00-0029263,R.Wilson,2022.0,00-0029263,R.Wilson,2.0
17.0,Jimmy Garoppolo (LAR),239.5,16.0,20.0,12.0,"3,810",68%,8.8,0.5945173103407124,301.0,441.0,"2,030",4.6,154.0,55.0,20.0,9.0,5.0,55.0,101.0,2.4,29.0,0.4125,36.0,24.0,100.0,56.0,23.0,3.0,51.0,38.0,3.0,15.0,00-0031345,2021,80.0,301.0,0.2%,QB,00-0031345,J.Garoppolo,,,,
18.0,Mac Jones (SF),238.0,14.0,22.0,13.0,"3,801",68%,7.3,2.5354269332501396,352.0,521.0,"2,239",4.3,152.0,52.0,13.0,6.0,1.0,71.0,94.0,2.4,28.0,0.382716049382716,47.0,29.0,181.0,88.0,16.0,0.0,129.0,44.0,3.0,17.0,00-0029293,2021,81.0,352.0,0.2%,QB,00-0036972,M.Jones,2022.0,00-0029293,M.Jones,109.0
19.0,Taylor Heinicke (LAC),237.7,14.9,20.0,15.0,"3,419",65%,6.9,0.2986248644689757,321.0,494.0,"1,911",3.9,146.0,40.0,16.0,6.0,2.0,48.0,86.0,2.6,38.0,0.4367816091954023,45.0,56.0,145.0,80.0,19.0,1.0,313.0,60.0,2.0,16.0,00-0031800,2021,87.0,321.0,0.1%,QB,00-0031800,T.Heinicke,,,,
20.0,Matt Ryan (FA),234.8,13.8,20.0,12.0,"3,968",67%,7.1,1.7592363416928607,375.0,560.0,"2,457",4.4,156.0,44.0,15.0,7.0,2.0,83.0,88.0,2.4,40.0,0.3125,85.0,48.0,166.0,79.0,21.0,1.0,82.0,40.0,4.0,17.0,00-0026143,2021,128.0,375.0,0.1%,QB,00-0026143,M.Ryan,,,,
21.0,Ben Roethlisberger (FA),228.0,14.3,22.0,10.0,"3,740",64%,6.2,-2.255970949772746,390.0,605.0,"2,033",3.4,144.0,39.0,16.0,9.0,4.0,87.0,89.0,2.2,38.0,0.5063291139240507,39.0,45.0,144.0,109.0,30.0,1.0,5.0,20.0,5.0,16.0,00-0022924,2021,79.0,390.0,0.2%,QB,00-0022924,B.Roethlisberger,,,,
22.0,Trevor Lawrence (JAC),216.0,12.7,12.0,17.0,"3,641",60%,6.0,-4.800080550311981,359.0,602.0,"2,240",3.7,144.0,43.0,8.0,5.0,2.0,56.0,73.0,2.4,32.0,0.3809523809523809,51.0,68.0,146.0,118.0,33.0,2.0,334.0,73.0,5.0,17.0,00-0036971,2021,84.0,359.0,13.2%,QB,00-0036971,T.Lawrence,,,,
23.0,Teddy Bridgewater (FA),209.8,15.0,18.0,7.0,"3,052",67%,7.1,3.9105545297081186,285.0,426.0,"1,801",4.2,125.0,33.0,15.0,5.0,2.0,53.0,95.0,2.5,31.0,0.4025974025974026,41.0,65.0,118.0,68.0,13.0,2.0,106.0,30.0,1.0,14.0,00-0031237,2021,77.0,285.0,0.0%,QB,00-0031237,T.Bridgewater,,,,
24.0,Jared Goff (DET),202.4,14.5,19.0,8.0,"3,245",67%,6.5,0.5529641658386784,332.0,494.0,"1,718",3.5,121.0,38.0,11.0,3.0,1.0,55.0,93.0,2.4,35.0,0.4117647058823529,48.0,50.0,111.0,77.0,21.0,0.0,87.0,17.0,6.0,14.0,00-0033106,2021,85.0,332.0,59.5%,QB,00-0033106,J.Goff,2022.0,00-0033106,J.Goff,9.0
25.0,Baker Mayfield (TB),193.8,13.8,17.0,13.0,"3,010",61%,7.1,-2.718707900494337,253.0,418.0,"1,791",4.3,114.0,41.0,16.0,8.0,3.0,44.0,85.0,2.4,43.0,0.7049180327868853,18.0,52.0,123.0,82.0,20.0,1.0,134.0,37.0,3.0,14.0,00-0034855,2021,61.0,253.0,93.6%,QB,00-0034855,B.Mayfield,,,,
