Rank,Player,Fantasy Points,Fantasy Points/Game,Passing TD,Interceptions,Passing Yards (Advanced),Completion % (Advanced),Yards/Attempt (Advanced),CPOE,Completions (Advanced),Pass Attempts (Advanced),Air Yards,Air Yards/Attempt,Completions 10+ Yards,Completions 20+ Yards,Completions 30+ Yards,Completions 40+ Yards,Completions 50+ Yards,Red Zone Attempts,QB Rating,Pocket Time,Sacks (Advanced),pressure_to_sack,QB Hits/Knockdowns,QB Hurries,Blitzes Faced,Poor Throws,Receiver Drops,Rushing TD,Rushing Yards,Rushing Attempts,Fumbles Lost,Games Played (Advanced),player_id,Year,pressures,Completions,Rostered %,Position,passer_player_id,passer_player_name
12.0,Justin Herbert (LAC),288.6,17.0,23.0,3.0,"3,870",66%,7.6,0.5450269499184848,332.0,504.0,"2,411",4.8,152.0,54.0,19.0,7.0,2.0,57.0,102.0,2.5,41.0,0.4017857142857143,62.0,20.0,156.0,67.0,32.0,2.0,306.0,69.0,2.0,17.0,00-0036355,2024,112.0,332.0,84.1%,QB,00-0036355,J.Herbert
13.0,Geno Smith (LV),281.1,16.5,21.0,15.0,"4,320",70%,7.5,5.639533668971652,407.0,578.0,"2,444",4.2,179.0,50.0,14.0,4.0,2.0,54.0,94.0,2.4,50.0,0.4672897196261682,57.0,36.0,138.0,58.0,20.0,2.0,272.0,53.0,0.0,17.0,00-0030565,2024,107.0,407.0,4.4%,QB,00-0030565,G.Smith
14.0,Brock Purdy (SF),279.0,18.6,20.0,12.0,"3,864",66%,8.5,2.062583592804995,300.0,455.0,"2,343",5.1,156.0,56.0,29.0,11.0,3.0,75.0,96.0,2.5,31.0,0.4626865671641791,38.0,32.0,142.0,62.0,19.0,5.0,323.0,66.0,3.0,15.0,,2024,67.0,300.0,87.5%,QB,00-0037834,B.Purdy
15.0,Aaron Rodgers (PIT),267.6,15.7,28.0,11.0,"3,897",63%,6.7,-2.5839792669449047,368.0,584.0,"2,041",3.5,166.0,51.0,13.0,7.0,3.0,83.0,92.0,2.3,40.0,0.4347826086956521,52.0,35.0,141.0,98.0,39.0,0.0,107.0,22.0,2.0,17.0,00-0023459,2024,92.0,368.0,4.6%,QB,00-0023459,A.Rodgers
16.0,Caleb Williams (CHI),260.5,15.3,20.0,6.0,"3,541",62%,6.3,-0.1021650616236561,351.0,562.0,"1,980",3.5,145.0,40.0,15.0,6.0,0.0,72.0,88.0,2.4,70.0,0.6296296296296297,40.0,52.0,174.0,110.0,20.0,0.0,489.0,81.0,5.0,17.0,,2024,108.0,351.0,78.8%,QB,00-0039918,C.Williams
17.0,Jordan Love (GB),244.9,16.3,25.0,11.0,"3,389",63%,8.0,0.1709392545996513,268.0,425.0,"1,970",4.6,128.0,48.0,20.0,12.0,6.0,72.0,97.0,2.4,14.0,0.2352941176470588,49.0,37.0,142.0,75.0,30.0,1.0,83.0,25.0,0.0,15.0,00-0036264,2024,68.0,268.0,45.6%,QB,00-0036264,J.Love
18.0,C.J. Stroud (HOU),232.4,13.7,20.0,12.0,"3,727",63%,7.0,-1.2144490500326084,336.0,532.0,"2,344",4.4,160.0,42.0,18.0,6.0,4.0,59.0,88.0,2.5,52.0,0.4921875,56.0,66.0,154.0,95.0,26.0,0.0,233.0,52.0,4.0,17.0,,2024,128.0,336.0,51.5%,QB,00-0039163,C.Stroud
19.0,Matthew Stafford (LAR),222.6,13.9,20.0,8.0,"3,762",66%,7.3,-0.835492637073778,340.0,517.0,"2,223",4.3,145.0,45.0,12.0,6.0,4.0,71.0,94.0,2.4,28.0,0.3431372549019608,63.0,31.0,144.0,88.0,15.0,0.0,41.0,30.0,2.0,16.0,00-0026498,2024,102.0,340.0,17.7%,QB,00-0026498,M.Stafford
20.0,Bryce Young (CAR),203.8,14.6,15.0,9.0,"2,403",61%,6.2,0.6654147484176329,234.0,384.0,"1,618",4.2,96.0,30.0,11.0,3.0,1.0,56.0,82.0,2.3,29.0,0.4328358208955223,38.0,53.0,136.0,81.0,15.0,6.0,249.0,43.0,2.0,14.0,,2024,67.0,234.0,9.5%,QB,00-0039150,B.Young
21.0,Kirk Cousins (ATL),192.3,13.7,18.0,16.0,"3,508",67%,7.7,0.9587325138685704,303.0,453.0,"2,082",4.6,147.0,42.0,15.0,7.0,3.0,46.0,89.0,2.4,28.0,0.3636363636363636,47.0,25.0,106.0,51.0,16.0,0.0,0.0,23.0,2.0,14.0,00-0029604,2024,77.0,303.0,0.6%,QB,00-0029604,K.Cousins
22.0,Tua Tagovailoa (MIA),188.5,17.1,19.0,7.0,"2,867",73%,7.2,3.7809179654133622,291.0,399.0,"1,499",3.8,128.0,29.0,8.0,3.0,3.0,57.0,100.0,2.1,21.0,0.6774193548387096,11.0,26.0,64.0,45.0,14.0,0.0,49.0,17.0,2.0,11.0,00-0036212,2024,31.0,291.0,15.9%,QB,00-0036212,T.Tagovailoa
23.0,Drake Maye (NE),187.1,14.4,15.0,10.0,"2,276",67%,6.7,2.8358721816391737,225.0,338.0,"1,270",3.7,90.0,25.0,9.0,1.0,0.0,39.0,81.0,2.3,34.0,0.5573770491803278,26.0,23.0,96.0,53.0,11.0,2.0,421.0,54.0,6.0,13.0,,2024,61.0,225.0,50.7%,QB,00-0039851,D.Maye
24.0,Russell Wilson (NYG),177.8,16.2,16.0,5.0,"2,482",64%,7.4,5.10401637532559,214.0,336.0,"1,510",4.5,94.0,40.0,17.0,6.0,0.0,45.0,96.0,2.4,33.0,0.4352941176470588,45.0,27.0,91.0,52.0,14.0,2.0,155.0,43.0,4.0,11.0,00-0029263,2024,85.0,214.0,2.5%,QB,00-0029263,R.Wilson
25.0,Anthony Richardson Sr. (IND),175.5,16.0,8.0,12.0,"1,814",48%,6.9,,126.0,264.0,"1,119",4.2,72.0,28.0,16.0,6.0,4.0,17.0,69.0,2.4,14.0,,30.0,35.0,67.0,70.0,12.0,6.0,499.0,86.0,3.0,11.0,,2024,,126.0,13.1%,QB,,
