Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
T.Y. Hilton (FA),2016,WR,IND,16.0,273.8,17.1,155.0,91.0,,6.0,,342.0,157.0,16.0,7.0
A.J. Green (FA),2015,WR,CIN,16.0,273.7,17.1,132.0,86.0,,10.0,,346.0,140.0,19.0,6.0
Malik Nabers (NYG),2024,WR,NYG,15.0,273.6,18.2,170.0,109.0,,7.0,,462.0,172.0,18.0,9.0
DK Metcalf (PIT),2021,WR,SEA,17.0,271.3,17.0,129.0,75.0,,10.0,,328.0,129.0,20.0,2.0
DK Metcalf (PIT),2020,WR,SEA,16.0,271.3,17.0,129.0,83.0,,10.0,,383.0,140.0,17.0,4.0
Cooper Kupp (SEA),2019,WR,LA,16.0,270.5,16.9,134.0,94.0,,10.0,,538.0,135.0,22.0,3.0
DeAndre Hopkins (BAL),2019,WR,HOU,15.0,269.5,18.0,150.0,104.0,,7.0,,415.0,174.0,18.0,6.0
Jarvis Landry (FA),2015,WR,MIA,16.0,269.4,16.8,166.0,110.0,,4.0,,533.0,167.0,25.0,12.0
Doug Baldwin (FA),2015,WR,SEA,16.0,268.9,16.8,103.0,78.0,,14.0,,468.0,122.0,19.0,3.0
Terry McLaurin (WAS),2024,WR,WAS,17.0,267.8,15.8,117.0,82.0,,13.0,,422.0,141.0,21.0,7.0
Demaryius Thomas (FA),2015,WR,DEN,16.0,267.4,16.7,177.0,105.0,,6.0,,496.0,199.0,23.0,6.0
Stefon Diggs (NE),2018,WR,MIN,15.0,266.3,17.8,149.0,102.0,,9.0,,438.0,150.0,19.0,6.0
Robert Woods (PIT),2018,WR,LA,16.0,265.6,16.6,130.0,86.0,,6.0,,477.0,159.0,16.0,4.0
Tyler Lockett (TEN),2021,WR,SEA,16.0,265.4,16.6,107.0,73.0,,10.0,,277.0,108.0,8.0,3.0
Davante Adams (LAR),2023,WR,LV,17.0,265.4,15.6,175.0,103.0,,8.0,,336.0,175.0,30.0,7.0
Tyler Lockett (TEN),2020,WR,SEA,16.0,265.4,16.6,132.0,100.0,,10.0,,332.0,136.0,16.0,7.0
CeeDee Lamb (DAL),2024,WR,DAL,15.0,263.4,17.6,152.0,101.0,,6.0,,537.0,154.0,21.0,3.0
Allen Robinson II (FA),2020,WR,,16.0,262.9,16.4,151.0,102.0,,6.0,,,,,
Allen Robinson II (FA),2021,WR,,12.0,262.9,16.4,66.0,38.0,,6.0,,,,,
Ja'Marr Chase (CIN),2023,WR,CIN,16.0,262.7,16.4,145.0,100.0,,7.0,,541.0,145.0,21.0,6.0
Keenan Allen (FA),2019,WR,LAC,16.0,261.5,16.3,149.0,104.0,,6.0,,369.0,149.0,20.0,3.0
Calvin Johnson (FA),2015,WR,DET,16.0,261.4,16.3,149.0,88.0,,9.0,,296.0,149.0,18.0,7.0
Larry Fitzgerald (FA),2017,WR,ARI,16.0,261.4,16.3,161.0,109.0,,6.0,,408.0,162.0,21.0,4.0
Nico Collins (HOU),2023,WR,HOU,15.0,260.4,17.4,109.0,80.0,,8.0,,641.0,127.0,19.0,5.0
Keenan Allen (FA),2018,WR,LAC,16.0,260.1,16.3,136.0,97.0,,6.0,,424.0,150.0,17.0,6.0
Jarvis Landry (FA),2017,WR,MIA,16.0,260.0,16.3,161.0,112.0,,9.0,,498.0,161.0,23.0,6.0
Julio Jones (FA),2016,WR,ATL,14.0,259.9,18.6,129.0,83.0,,6.0,,511.0,154.0,15.0,7.0
Jaylen Waddle (MIA),2022,WR,MIA,17.0,259.2,15.2,117.0,75.0,,8.0,,516.0,125.0,11.0,2.0
Michael Thomas (FA),2017,WR,NO,16.0,258.5,16.2,149.0,104.0,,5.0,,490.0,171.0,21.0,7.0
Julian Edelman (FA),2019,WR,NE,16.0,256.3,16.0,153.0,100.0,,6.0,,328.0,159.0,24.0,7.0
Michael Thomas (FA),2016,WR,NO,15.0,255.7,17.0,121.0,92.0,,9.0,,483.0,121.0,19.0,7.0
Allen Robinson II (FA),2019,WR,,16.0,254.9,15.9,154.0,98.0,,7.0,,,,,
DeVonta Smith (PHI),2022,WR,PHI,17.0,254.6,15.0,136.0,95.0,,7.0,,559.0,159.0,18.0,2.0
Adam Thielen (CAR),2020,WR,MIN,15.0,254.0,16.9,108.0,74.0,,14.0,,243.0,110.0,23.0,10.0
Adam Thielen (CAR),2021,WR,MIN,13.0,254.0,16.9,95.0,67.0,,14.0,,239.0,95.0,15.0,5.0
Brandin Cooks (NO),2015,WR,NO,16.0,253.6,15.9,129.0,84.0,,9.0,,384.0,129.0,10.0,2.0
Doug Baldwin (FA),2016,WR,SEA,16.0,253.6,15.9,125.0,94.0,,7.0,,536.0,147.0,23.0,4.0
Jaxon Smith-Njigba (SEA),2024,WR,SEA,17.0,253.0,14.9,137.0,100.0,,6.0,,477.0,138.0,16.0,6.0
Eric Decker (FA),2015,WR,NYJ,15.0,252.7,16.8,132.0,80.0,,12.0,,214.0,132.0,29.0,6.0
Julio Jones (FA),2017,WR,,16.0,251.9,15.7,148.0,88.0,,3.0,,,,,
Garrett Wilson (NYJ),2024,WR,NYJ,17.0,251.9,14.8,154.0,101.0,,7.0,,442.0,154.0,25.0,5.0
Michael Pittman Jr. (IND),2023,WR,,16.0,250.2,15.6,156.0,109.0,,4.0,,,,,
Brandon Aiyuk (SF),2023,WR,SF,16.0,249.2,15.6,105.0,75.0,,7.0,,389.0,125.0,12.0,2.0
Mike Evans (TB),2020,WR,TB,16.0,248.6,15.5,109.0,70.0,,13.0,,298.0,133.0,24.0,11.0
Mike Evans (TB),2021,WR,TB,16.0,248.6,15.5,114.0,74.0,,13.0,,318.0,140.0,25.0,8.0
Kenny Golladay (FA),2019,WR,DET,16.0,248.0,15.5,116.0,65.0,,11.0,,304.0,117.0,17.0,6.0
A.J. Brown (PHI),2020,WR,TB,14.0,247.5,17.7,106.0,70.0,,11.0,,273.0,74.0,9.0,2.0
A.J. Brown (PHI),2021,WR,TB,13.0,247.5,17.7,105.0,63.0,,11.0,,190.0,62.0,3.0,1.0
Amari Cooper (FA),2022,WR,CLE,17.0,247.0,14.5,132.0,78.0,,9.0,,299.0,133.0,19.0,4.0
Davante Adams (LAR),2016,WR,GB,16.0,246.7,15.4,121.0,75.0,,12.0,,469.0,148.0,29.0,10.0
Amari Cooper (FA),2019,WR,DAL,16.0,246.5,15.4,119.0,79.0,,8.0,,240.0,119.0,9.0,1.0
Brandin Cooks (NO),2016,WR,NO,16.0,246.3,15.4,117.0,78.0,,8.0,,384.0,117.0,14.0,3.0
DeVante Parker (FA),2019,WR,MIA,16.0,246.2,15.4,128.0,72.0,,9.0,,263.0,128.0,16.0,1.0
Robert Woods (PIT),2021,WR,LA,9.0,245.1,15.3,69.0,45.0,,6.0,,198.0,70.0,19.0,5.0
Keenan Allen (FA),2020,WR,LAC,14.0,245.1,17.5,147.0,100.0,,8.0,,437.0,149.0,19.0,4.0
Robert Woods (PIT),2020,WR,LA,16.0,245.1,15.3,129.0,90.0,,6.0,,517.0,147.0,17.0,4.0
Keenan Allen (FA),2021,WR,LAC,16.0,245.1,17.5,157.0,106.0,,8.0,,341.0,158.0,26.0,7.0
Larry Fitzgerald (FA),2016,WR,ARI,16.0,243.8,15.2,150.0,107.0,,6.0,,358.0,150.0,20.0,9.0
Deebo Samuel Sr. (WAS),2023,WR,,15.0,243.7,16.2,89.0,60.0,,7.0,,,,,
Jeremy Maclin (FA),2015,WR,KC,15.0,243.2,16.2,124.0,87.0,,8.0,,325.0,131.0,15.0,3.0
Brandin Cooks (NO),2018,WR,LA,16.0,243.2,15.2,117.0,80.0,,5.0,,420.0,144.0,22.0,4.0
Ja'Marr Chase (CIN),2022,WR,CIN,13.0,242.4,18.6,134.0,87.0,,9.0,,520.0,162.0,31.0,6.0
Christian Kirk (HOU),2022,WR,JAX,17.0,241.9,14.2,133.0,84.0,,8.0,,404.0,162.0,26.0,9.0
Davante Adams (LAR),2024,WR,NYJ,14.0,241.3,17.2,141.0,85.0,,8.0,,473.0,142.0,27.0,11.0
Ladd McConkey (LAC),2024,WR,LAC,16.0,240.9,15.1,112.0,82.0,,7.0,,475.0,127.0,10.0,1.0
Jerry Jeudy (CLE),2024,WR,CLE,17.0,240.9,14.2,145.0,90.0,,4.0,,387.0,148.0,17.0,4.0
Mike Evans (TB),2024,WR,TB,14.0,240.4,17.2,110.0,74.0,,11.0,,255.0,117.0,16.0,8.0
Courtland Sutton (DEN),2024,WR,DEN,17.0,240.3,14.1,135.0,81.0,,8.0,,191.0,144.0,23.0,1.0
