Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
T.J. Hockenson (MIN),2020,TE,DET,16.0,175.3,11.0,101.0,67.0,,6.0,,329.0,102.0,18.0,9.0
Sam LaPorta (DET),2024,TE,DET,16.0,174.6,10.9,83.0,60.0,,7.0,,365.0,90.0,21.0,4.0
Delanie Walker (FA),2017,TE,TEN,16.0,174.5,10.9,111.0,74.0,,3.0,,311.0,126.0,14.0,7.0
Evan Engram (DEN),2017,TE,NYG,15.0,173.6,11.6,115.0,64.0,,6.0,,306.0,115.0,11.0,3.0
Rob Gronkowski (FA),2021,TE,TB,12.0,171.2,14.3,88.0,55.0,,6.0,,419.0,106.0,14.0,5.0
Cameron Brate (FA),2016,TE,TB,15.0,171.0,11.4,81.0,57.0,,8.0,,136.0,81.0,17.0,4.0
Jimmy Graham (FA),2017,TE,SEA,16.0,171.0,10.7,96.0,57.0,,10.0,,211.0,98.0,28.0,16.0
Zach Ertz (WAS),2015,TE,PHI,15.0,170.3,11.4,112.0,75.0,,2.0,,298.0,112.0,9.0,2.0
Mark Andrews (BAL),2020,TE,BAL,14.0,170.1,12.2,88.0,58.0,,7.0,,207.0,105.0,22.0,4.0
Jack Doyle (FA),2017,TE,IND,15.0,169.0,11.3,108.0,80.0,,4.0,,337.0,109.0,11.0,3.0
Dennis Pitta (FA),2016,TE,BAL,16.0,168.9,10.6,121.0,86.0,,2.0,,295.0,121.0,13.0,1.0
Jordan Reed (FA),2016,TE,WAS,12.0,168.6,14.1,89.0,66.0,,6.0,,264.0,90.0,15.0,4.0
Pat Freiermuth (PIT),2024,TE,PIT,17.0,168.3,9.9,78.0,65.0,,7.0,,286.0,82.0,14.0,1.0
Martellus Bennett (FA),2016,TE,NE,16.0,168.1,10.5,73.0,55.0,,7.0,,467.0,88.0,15.0,5.0
Jared Cook (FA),2019,TE,NO,14.0,167.5,12.0,65.0,43.0,,9.0,,275.0,70.0,11.0,4.0
Mike Gesicki (CIN),2021,TE,MIA,17.0,165.0,9.7,112.0,73.0,,2.0,,221.0,113.0,12.0,3.0
Dallas Goedert (PHI),2021,TE,PHI,15.0,165.0,11.0,76.0,56.0,,4.0,,420.0,89.0,8.0,2.0
Jason Witten (FA),2015,TE,DAL,16.0,164.3,10.3,104.0,77.0,,3.0,,230.0,104.0,13.0,4.0
Hunter Henry (NE),2021,TE,NE,16.0,164.3,10.3,75.0,50.0,,9.0,,151.0,79.0,19.0,6.0
Dawson Knox (BUF),2021,TE,BUF,15.0,164.1,10.9,71.0,49.0,,9.0,,296.0,80.0,21.0,4.0
Tucker Kraft (GB),2024,TE,GB,17.0,163.3,9.6,70.0,50.0,,7.0,,477.0,76.0,18.0,3.0
Austin Hooper (NE),2018,TE,ATL,16.0,163.0,10.2,88.0,71.0,,4.0,,237.0,90.0,15.0,7.0
Tyler Higbee (LAR),2019,TE,LA,15.0,160.4,10.7,89.0,69.0,,3.0,,390.0,89.0,19.0,6.0
Richard Rodgers (FA),2015,TE,GB,16.0,160.1,10.0,85.0,58.0,,8.0,,250.0,98.0,16.0,8.0
Mike Gesicki (CIN),2020,TE,MIA,15.0,159.3,10.6,85.0,53.0,,6.0,,167.0,85.0,16.0,4.0
Noah Fant (CIN),2021,TE,DEN,16.0,159.0,9.9,90.0,68.0,,4.0,,319.0,91.0,17.0,4.0
Kyle Rudolph (FA),2017,TE,MIN,16.0,158.2,9.9,81.0,57.0,,8.0,,235.0,93.0,18.0,5.0
Jason Witten (FA),2016,TE,DAL,16.0,152.3,9.5,95.0,69.0,,3.0,,287.0,104.0,22.0,2.0
Tyler Higbee (LAR),2022,TE,LA,16.0,152.0,9.5,108.0,72.0,,3.0,,404.0,108.0,16.0,2.0
Pat Freiermuth (PIT),2021,TE,PIT,16.0,151.7,9.5,79.0,60.0,,7.0,,268.0,85.0,21.0,7.0
Kyle Rudolph (FA),2018,TE,MIN,16.0,151.4,9.5,82.0,64.0,,4.0,,249.0,84.0,17.0,7.0
Dalton Schultz (HOU),2023,TE,HOU,15.0,150.5,10.0,88.0,59.0,,5.0,,263.0,98.0,15.0,3.0
Dalton Kincaid (BUF),2023,TE,BUF,16.0,150.3,9.4,91.0,73.0,,2.0,,358.0,102.0,9.0,2.0
Hunter Henry (NE),2019,TE,LAC,12.0,150.2,12.5,76.0,55.0,,5.0,,159.0,77.0,13.0,3.0
Noah Fant (CIN),2020,TE,DEN,15.0,149.3,10.0,93.0,62.0,,3.0,,377.0,94.0,13.0,1.0
Rob Gronkowski (FA),2020,TE,TB,16.0,149.3,9.3,77.0,45.0,,7.0,,322.0,91.0,23.0,6.0
Hayden Hurst (FA),2020,TE,ATL,16.0,149.1,9.3,88.0,56.0,,6.0,,245.0,89.0,16.0,4.0
Antonio Gates (FA),2015,TE,LAC,11.0,149.0,13.5,85.0,56.0,,5.0,,239.0,85.0,13.0,1.0
David Njoku (CLE),2024,TE,CLE,11.0,148.5,13.5,97.0,64.0,,5.0,,251.0,99.0,16.0,7.0
Pat Freiermuth (PIT),2022,TE,PIT,15.0,148.2,9.9,98.0,63.0,,2.0,,281.0,98.0,13.0,1.0
Antonio Gates (FA),2016,TE,LAC,14.0,147.8,10.6,93.0,53.0,,7.0,,188.0,94.0,23.0,6.0
Cole Kmet (CHI),2022,TE,CHI,17.0,147.3,8.7,69.0,50.0,,7.0,,286.0,70.0,11.0,3.0
Trey Burton (FA),2018,TE,CHI,16.0,147.1,9.2,76.0,54.0,,6.0,,190.0,77.0,16.0,4.0
Tyler Higbee (LAR),2021,TE,LA,15.0,147.0,9.8,85.0,61.0,,5.0,,320.0,99.0,21.0,5.0
Jason Witten (FA),2017,TE,DAL,16.0,147.0,9.2,87.0,63.0,,5.0,,105.0,87.0,13.0,0.0
Dalton Schultz (HOU),2020,TE,DAL,16.0,146.5,9.2,89.0,63.0,,4.0,,279.0,89.0,14.0,2.0
Taysom Hill (NO),2022,TE,MIA,16.0,145.8,9.1,13.0,9.0,,2.0,,517.0,186.0,16.0,7.0
Hunter Henry (NE),2024,TE,NE,16.0,145.4,9.1,97.0,66.0,,2.0,,268.0,97.0,18.0,3.0
Jack Doyle (FA),2016,TE,IND,16.0,145.4,9.1,75.0,59.0,,5.0,,246.0,75.0,13.0,2.0
Hunter Henry (NE),2020,TE,LAC,14.0,145.3,10.4,93.0,60.0,,4.0,,226.0,93.0,14.0,5.0
T.J. Hockenson (MIN),2021,TE,DET,12.0,145.3,12.1,84.0,61.0,,4.0,,199.0,86.0,12.0,2.0
Dallas Goedert (PHI),2019,TE,PHI,15.0,144.7,9.6,87.0,58.0,,5.0,,351.0,95.0,12.0,4.0
Eric Ebron (FA),2016,TE,DET,13.0,144.2,11.1,85.0,61.0,,1.0,,295.0,91.0,7.0,1.0
David Njoku (CLE),2018,TE,CLE,16.0,143.9,9.0,88.0,56.0,,4.0,,306.0,88.0,8.0,3.0
Jimmy Graham (FA),2020,TE,CHI,16.0,143.6,9.0,76.0,50.0,,8.0,,202.0,78.0,21.0,7.0
Taysom Hill (NO),2023,TE,MIA,16.0,143.5,9.0,40.0,33.0,,2.0,,683.0,180.0,27.0,10.0
Cameron Brate (FA),2017,TE,TB,16.0,143.1,8.9,77.0,48.0,,6.0,,143.0,77.0,13.0,1.0
Dalton Schultz (HOU),2022,TE,DAL,15.0,142.7,9.5,89.0,57.0,,5.0,,222.0,107.0,20.0,3.0
David Njoku (CLE),2022,TE,CLE,14.0,142.0,10.1,80.0,58.0,,4.0,,332.0,80.0,20.0,4.0
Eric Ebron (FA),2020,TE,PIT,15.0,141.8,9.5,91.0,56.0,,5.0,,228.0,103.0,23.0,6.0
Mike Gesicki (CIN),2024,TE,CIN,17.0,141.5,8.3,83.0,65.0,,2.0,,245.0,83.0,10.0,3.0
Dallas Goedert (PHI),2022,TE,PHI,12.0,141.2,11.8,69.0,55.0,,3.0,,473.0,87.0,14.0,2.0
Evan Engram (DEN),2020,TE,NYG,16.0,141.0,8.8,109.0,63.0,,1.0,,287.0,109.0,16.0,2.0
Cade Otton (TB),2024,TE,TB,14.0,140.6,10.0,87.0,59.0,,4.0,,330.0,89.0,16.0,6.0
