Player,Year,Position,Team,Games Played,Fantasy Points,Fantasy PPG,Targets,Receptions,Carries,TDs,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Pierre Garcon (FA),2015,WR,WAS,16.0,185.7,11.6,111.0,72.0,0.0,6.0,,,,19.0,
A.J. Dillon (PHI),2021,RB,,17.0,185.6,10.9,37.0,34.0,187.0,7.0,,,,48.0,
Nelson Agholor (FA),2020,WR,LV,16.0,185.6,11.6,82.0,48.0,0.0,8.0,,,,13.0,
Nelson Agholor (FA),2021,WR,NE,15.0,185.6,11.6,64.0,37.0,0.0,8.0,,,,7.0,
Keenan Allen (FA),2024,WR,CHI,15.0,185.4,12.4,121.0,70.0,0.0,7.0,,,,17.0,
Austin Ekeler (WAS),2023,RB,,14.0,185.4,13.2,74.0,51.0,179.0,6.0,,,,39.0,
JuJu Smith-Schuster (KC),2022,WR,KC,16.0,185.3,11.6,101.0,78.0,0.0,3.0,,,,19.0,
Alshon Jeffery (FA),2018,WR,PHI,13.0,185.3,14.3,92.0,65.0,0.0,6.0,,,,16.0,
Chris Godwin (TB),2018,WR,TB,16.0,185.2,11.6,95.0,59.0,0.0,7.0,,,,18.0,
Cole Beasley (FA),2019,WR,BUF,15.0,184.8,12.3,106.0,67.0,0.0,6.0,,,,11.0,
Rueben Randle (FA),2015,WR,NYG,16.0,184.7,11.5,90.0,57.0,0.0,8.0,,,,12.0,
Brandon Aiyuk (SF),2021,WR,SF,17.0,184.5,15.4,84.0,56.0,77.0,5.0,,,,12.0,
Brandon Aiyuk (SF),2020,WR,SF,12.0,184.5,15.4,96.0,60.0,77.0,5.0,,,,15.0,
DeMarco Murray (FA),2015,RB,,15.0,184.4,12.3,55.0,44.0,193.0,7.0,,,,31.0,
Sterling Shepard (TB),2016,WR,NYG,16.0,184.4,11.5,105.0,65.0,31.0,8.0,,,,16.0,
Steve Smith (FA),2016,WR,BAL,14.0,183.9,13.1,101.0,70.0,0.0,5.0,,,,15.0,
Ted Ginn Jr. (FA),2015,WR,,15.0,183.9,12.3,96.0,44.0,60.0,10.0,,,,,
Matt Forte (FA),2016,RB,,14.0,183.6,13.1,43.0,30.0,218.0,8.0,,,,37.0,
Zach Ertz (WAS),2016,TE,PHI,14.0,183.6,13.1,106.0,78.0,nan,4.0,,,,17.0,
Corey Davis (FA),2018,WR,TEN,16.0,183.6,11.5,112.0,65.0,55.0,4.0,,,,15.0,
Josh Downs (IND),2024,WR,IND,14.0,183.5,13.1,107.0,72.0,12.0,5.0,,,,14.0,
Willie Snead IV (FA),2015,WR,,15.0,183.4,12.2,101.0,69.0,0.0,3.0,,,,,
Marquise Brown (KC),2021,WR,BAL,16.0,183.0,11.4,146.0,91.0,1.0,8.0,,,,8.0,
Marquise Brown (KC),2020,WR,LA,16.0,183.0,11.4,100.0,58.0,1.0,8.0,,,,24.0,
Golden Tate (FA),2018,WR,DET,15.0,182.9,12.2,113.0,74.0,34.0,4.0,,,,14.0,
Wan'Dale Robinson (NYG),2024,WR,NYG,17.0,182.7,10.7,140.0,93.0,18.0,3.0,,,,18.0,
Sterling Shepard (TB),2018,WR,NYG,16.0,182.5,11.4,107.0,66.0,33.0,4.0,,,,20.0,
Khalil Shakir (BUF),2024,WR,BUF,15.0,182.5,12.2,100.0,76.0,4.0,4.0,,,,10.0,
Chuba Hubbard (CAR),2023,RB,,17.0,182.5,10.7,44.0,39.0,238.0,5.0,,,,37.0,
Mohamed Sanu Sr. (FA),2018,WR,,16.0,182.4,11.4,94.0,66.0,44.0,4.0,,,,,
Trey McBride (ARI),2023,TE,ARI,17.0,181.5,10.7,106.0,81.0,nan,3.0,,,,11.0,
Marlon Mack (FA),2019,RB,,14.0,181.3,13.0,17.0,14.0,247.0,8.0,,,,39.0,
Giovani Bernard (FA),2015,RB,,16.0,181.2,11.3,66.0,49.0,154.0,2.0,,,,36.0,
Cole Kmet (CHI),2023,TE,CHI,17.0,181.1,10.7,90.0,73.0,nan,6.0,,,,16.0,
Russell Gage Jr. (SF),2021,WR,,13.0,181.1,11.3,94.0,66.0,9.0,4.0,,,,,
Josh Jacobs (GB),2023,RB,,13.0,181.1,13.9,54.0,37.0,233.0,6.0,,,,45.0,
Russell Gage Jr. (SF),2020,WR,,16.0,181.1,11.3,109.0,72.0,9.0,4.0,,,,,
Diontae Johnson (CLE),2022,WR,PIT,17.0,180.7,10.6,147.0,86.0,25.0,0.0,,,,2.0,
Zach Ertz (WAS),2021,TE,ARI,17.0,180.7,10.6,112.0,74.0,nan,5.0,,,,22.0,
DeSean Jackson (FA),2016,WR,WAS,15.0,180.5,12.0,100.0,56.0,0.0,4.0,,,,11.0,
Jakobi Meyers (LV),2022,WR,NE,14.0,180.3,12.9,96.0,67.0,-11.0,6.0,,,,10.0,
Mike Williams (FA),2018,WR,LAC,16.0,180.2,11.3,66.0,43.0,28.0,10.0,,,,5.0,
Dez Bryant (FA),2016,WR,DAL,13.0,180.0,13.8,96.0,50.0,0.0,8.0,,,,17.0,
Charles Sims (FA),2015,RB,,16.0,180.0,11.3,70.0,51.0,107.0,4.0,,,,26.0,
Adam Thielen (CAR),2022,WR,MIN,17.0,180.0,10.6,107.0,70.0,4.0,6.0,,,,24.0,
Jordan Howard (FA),2018,RB,,16.0,180.0,11.3,27.0,20.0,250.0,9.0,,,,39.0,
Cameron Meredith (FA),2016,WR,CHI,14.0,179.5,12.8,97.0,66.0,6.0,4.0,,,,14.0,
David Johnson (FA),2020,RB,,12.0,179.5,15.0,46.0,33.0,147.0,8.0,,,,13.0,
Javonte Williams (DAL),2023,RB,,16.0,179.2,11.2,58.0,47.0,217.0,5.0,,,,15.0,
Theo Riddick (FA),2015,RB,,16.0,179.0,11.2,99.0,80.0,43.0,3.0,,,,19.0,
LeSean McCoy (FA),2015,RB,,12.0,178.7,14.9,50.0,32.0,203.0,5.0,,,,28.0,
Drake London (ATL),2022,WR,ATL,17.0,178.6,10.5,117.0,72.0,0.0,4.0,,,,17.0,
Devin Singletary (NYG),2022,RB,,17.0,178.2,10.5,52.0,38.0,178.0,6.0,,,,48.0,
Marlon Mack (FA),2018,RB,,12.0,178.1,14.8,26.0,17.0,195.0,10.0,,,,44.0,
David Montgomery (DET),2022,RB,,16.0,177.7,11.1,40.0,34.0,201.0,6.0,,,,37.0,
Larry Fitzgerald (FA),2019,WR,ARI,16.0,177.4,11.1,109.0,75.0,0.0,4.0,,,,14.0,
Zach Ertz (WAS),2024,TE,WAS,17.0,177.4,10.4,91.0,66.0,nan,7.0,,,,27.0,
Jake Ferguson (DAL),2023,TE,DAL,17.0,177.1,10.4,102.0,71.0,nan,5.0,,,,29.0,
Evan Engram (DEN),2022,TE,JAX,17.0,176.9,10.4,98.0,73.0,nan,4.0,,,,15.0,
Cooper Kupp (SEA),2017,WR,LA,15.0,176.9,11.8,94.0,62.0,0.0,5.0,,,,26.0,
Kyle Pitts Sr. (ATL),2021,TE,,17.0,176.6,10.4,110.0,68.0,nan,1.0,,,,,
Robert Tonyan (KC),2020,TE,GB,16.0,176.6,11.0,59.0,52.0,nan,11.0,,,,12.0,
Logan Thomas (FA),2020,TE,WAS,16.0,176.6,11.0,110.0,72.0,nan,6.0,,,,22.0,
Mike Williams (FA),2022,WR,LAC,13.0,176.5,13.6,93.0,63.0,0.0,4.0,,,,14.0,
Curtis Samuel (BUF),2022,WR,WAS,17.0,176.3,10.4,92.0,64.0,187.0,4.0,,,,19.0,
Jeremy Hill (FA),2016,RB,,15.0,176.3,11.8,27.0,21.0,222.0,9.0,,,,3.0,
Jermaine Kearse (FA),2017,WR,NYJ,16.0,176.0,11.0,102.0,65.0,0.0,5.0,,,,9.0,
Clyde Edwards-Helaire (NO),2020,RB,,13.0,176.0,13.5,54.0,36.0,181.0,5.0,,,,37.0,
Rhamondre Stevenson (NE),2024,RB,,15.0,175.9,11.7,41.0,33.0,207.0,8.0,,,,54.0,
T.Y. Hilton (FA),2017,WR,IND,16.0,175.6,11.0,109.0,57.0,0.0,4.0,,,,10.0,
Tyler Boyd (FA),2022,WR,CIN,17.0,175.5,10.3,83.0,59.0,0.0,6.0,,,,14.0,
T.J. Hockenson (MIN),2020,TE,DET,16.0,175.3,11.0,101.0,67.0,nan,6.0,,,,18.0,
Cooper Kupp (SEA),2024,WR,LA,12.0,175.0,14.6,100.0,67.0,10.0,6.0,,,,13.0,
Allen Lazard (NYJ),2022,WR,GB,15.0,174.8,11.7,100.0,60.0,0.0,6.0,,,,19.0,
Quentin Johnston (LAC),2024,WR,LAC,15.0,174.7,11.6,91.0,55.0,6.0,8.0,,,,12.0,
Kenny Stills (FA),2017,WR,MIA,16.0,174.7,10.9,105.0,58.0,0.0,6.0,,,,10.0,
Sam LaPorta (DET),2024,TE,DET,16.0,174.6,10.9,83.0,60.0,nan,7.0,,,,21.0,
Rashod Bateman (BAL),2024,WR,BAL,17.0,174.6,10.3,72.0,45.0,0.0,9.0,,,,11.0,
Ezekiel Elliott (FA),2023,RB,,17.0,174.5,10.3,65.0,51.0,184.0,5.0,,,,27.0,
Delanie Walker (FA),2017,TE,TEN,16.0,174.5,10.9,111.0,74.0,nan,3.0,,,,14.0,
Romeo Doubs (GB),2023,WR,GB,17.0,174.4,10.3,96.0,59.0,0.0,8.0,,,,22.0,
Drake London (ATL),2023,WR,ATL,16.0,174.4,10.9,110.0,69.0,0.0,2.0,,,,18.0,
Mohamed Sanu Sr. (FA),2017,WR,,15.0,174.3,11.6,96.0,67.0,10.0,5.0,,,,,
Marvin Jones Jr. (FA),2015,WR,,16.0,173.9,10.9,103.0,65.0,33.0,4.0,,,,,
James Robinson (FA),2021,RB,,14.0,173.9,12.4,46.0,31.0,164.0,8.0,,,,26.0,
Evan Engram (DEN),2017,TE,NYG,15.0,173.6,11.6,115.0,64.0,nan,6.0,,,,11.0,
Myles Gaskin (FA),2021,RB,,17.0,173.6,10.2,63.0,49.0,173.0,7.0,,,,41.0,
Dede Westbrook (FA),2018,WR,JAX,16.0,173.5,10.8,101.0,66.0,98.0,5.0,,,,15.0,
Anquan Boldin (FA),2016,WR,DET,16.0,173.4,10.8,95.0,67.0,0.0,8.0,,,,23.0,
Donte Moncrief (FA),2015,WR,IND,16.0,173.3,10.8,105.0,64.0,0.0,6.0,,,,12.0,
Michael Gallup (WAS),2020,WR,DAL,16.0,173.3,10.8,105.0,59.0,0.0,5.0,,,,14.0,
Michael Gallup (WAS),2021,WR,DAL,9.0,173.3,10.8,62.0,35.0,0.0,5.0,,,,8.0,
Brandin Cooks (NO),2023,WR,DAL,16.0,173.2,10.8,81.0,54.0,35.0,8.0,,,,16.0,
T.J. Yeldon (FA),2018,RB,,14.0,173.1,12.4,78.0,55.0,104.0,5.0,,,,18.0,
Michael Floyd (FA),2015,WR,LAC,15.0,172.9,11.5,89.0,52.0,0.0,6.0,,,,4.0,
Lamar Miller (FA),2018,RB,,14.0,172.6,12.3,35.0,25.0,210.0,6.0,,,,34.0,
Julian Edelman (FA),2015,WR,NE,9.0,172.5,19.2,88.0,61.0,23.0,7.0,,,,23.0,
Marqise Lee (FA),2016,WR,JAX,16.0,172.4,10.8,105.0,63.0,35.0,3.0,,,,9.0,
Marvin Jones Jr. (FA),2016,WR,,15.0,172.3,11.5,103.0,55.0,3.0,4.0,,,,,
Jamison Crowder (FA),2020,WR,NYJ,12.0,172.0,14.3,89.0,59.0,14.0,6.0,,,,10.0,
Jamison Crowder (FA),2021,WR,NYJ,12.0,172.0,14.3,71.0,51.0,14.0,6.0,,,,14.0,
Michael Crabtree (FA),2017,WR,LV,14.0,171.8,12.3,101.0,58.0,0.0,8.0,,,,16.0,
Curtis Samuel (BUF),2019,WR,CAR,16.0,171.7,10.7,105.0,54.0,130.0,6.0,,,,18.0,
Gabe Davis (FA),2022,WR,BUF,15.0,171.6,11.4,93.0,48.0,0.0,7.0,,,,17.0,
Jordan Matthews (FA),2016,WR,PHI,14.0,171.4,12.2,117.0,73.0,0.0,3.0,,,,14.0,
Rob Gronkowski (FA),2021,TE,TB,12.0,171.2,14.3,88.0,55.0,nan,6.0,,,,14.0,
Jimmy Graham (FA),2017,TE,SEA,16.0,171.0,10.7,96.0,57.0,nan,10.0,,,,28.0,
Terrance West (FA),2016,RB,,16.0,171.0,10.7,45.0,34.0,193.0,6.0,,,,39.0,
Cameron Brate (FA),2016,TE,TB,15.0,171.0,11.4,81.0,57.0,nan,8.0,,,,17.0,
Miles Sanders (DAL),2020,RB,,12.0,170.4,14.2,52.0,28.0,164.0,6.0,,,,30.0,
David Montgomery (DET),2019,RB,,16.0,170.4,10.7,35.0,25.0,242.0,7.0,,,,35.0,
Zach Ertz (WAS),2015,TE,PHI,15.0,170.3,11.4,112.0,75.0,nan,2.0,,,,9.0,
Jeremy Hill (FA),2015,RB,,16.0,170.3,10.6,19.0,15.0,223.0,12.0,,,,10.0,
Martavis Bryant (FA),2015,WR,PIT,11.0,170.2,15.5,92.0,50.0,37.0,6.0,,,,17.0,
Mark Andrews (BAL),2020,TE,BAL,14.0,170.1,12.2,88.0,58.0,nan,7.0,,,,22.0,
Darius Slayton (NYG),2019,WR,NYG,14.0,170.0,12.1,84.0,48.0,0.0,8.0,,,,8.0,
Anquan Boldin (FA),2015,WR,SF,14.0,169.9,12.1,111.0,69.0,0.0,4.0,,,,20.0,
Zack Moss (FA),2023,RB,,14.0,169.6,12.1,37.0,27.0,183.0,7.0,,,,49.0,
Joshua Palmer (BUF),2022,WR,LAC,16.0,169.3,10.6,107.0,72.0,4.0,3.0,,,,10.0,
Jack Doyle (FA),2017,TE,IND,15.0,169.0,11.3,108.0,80.0,nan,4.0,,,,11.0,
Dennis Pitta (FA),2016,TE,BAL,16.0,168.9,10.6,121.0,86.0,nan,2.0,,,,13.0,
Quincy Enunwa (FA),2016,WR,NYJ,16.0,168.9,10.6,105.0,58.0,12.0,4.0,,,,15.0,
Austin Ekeler (WAS),2018,RB,,14.0,168.8,12.1,53.0,39.0,106.0,6.0,,,,23.0,
Jordan Reed (FA),2016,TE,WAS,12.0,168.6,14.1,89.0,66.0,nan,6.0,,,,15.0,
Marquise Goodwin (FA),2017,WR,SF,16.0,168.6,10.5,105.0,56.0,44.0,2.0,,,,15.0,
Kenny Stills (FA),2016,WR,MIA,16.0,168.6,10.5,81.0,42.0,0.0,9.0,,,,6.0,
J.K. Dobbins (DEN),2020,RB,,15.0,168.5,11.2,24.0,18.0,134.0,9.0,,,,35.0,
Deebo Samuel Sr. (WAS),2022,WR,,13.0,168.4,13.0,94.0,56.0,232.0,2.0,,,,,
Pat Freiermuth (PIT),2024,TE,PIT,17.0,168.3,9.9,78.0,65.0,nan,7.0,,,,14.0,
Raheem Mostert (LV),2022,RB,,16.0,168.3,10.5,42.0,31.0,181.0,5.0,,,,28.0,
Christian Kirk (HOU),2019,WR,ARI,13.0,168.2,12.9,108.0,68.0,93.0,3.0,,,,14.0,
Martellus Bennett (FA),2016,TE,NE,16.0,168.1,10.5,73.0,55.0,nan,7.0,,,,15.0,
Chase Edmonds (FA),2020,RB,,16.0,168.0,10.5,67.0,53.0,97.0,5.0,,,,26.0,
A.J. Dillon (PHI),2022,RB,,17.0,167.6,9.9,43.0,28.0,186.0,7.0,,,,32.0,
Jared Cook (FA),2019,TE,NO,14.0,167.5,12.0,65.0,43.0,nan,9.0,,,,11.0,
Devin Singletary (NYG),2023,RB,,17.0,167.3,9.8,38.0,30.0,216.0,4.0,,,,39.0,
Donovan Peoples-Jones (NO),2022,WR,CLE,17.0,167.1,9.8,96.0,61.0,2.0,3.0,,,,13.0,
George Pickens (DAL),2022,WR,PIT,17.0,166.5,9.8,84.0,52.0,24.0,4.0,,,,9.0,
Dameon Pierce (HOU),2022,RB,,13.0,166.4,12.8,39.0,30.0,220.0,5.0,,,,35.0,
DeVante Parker (FA),2021,WR,MIA,10.0,166.3,11.9,73.0,40.0,0.0,4.0,,,,6.0,
DeVante Parker (FA),2020,WR,MIA,14.0,166.3,11.9,103.0,63.0,0.0,4.0,,,,15.0,
James Starks (FA),2015,RB,,16.0,166.3,10.4,53.0,43.0,148.0,5.0,,,,29.0,
Antonio Gibson (NE),2022,RB,,15.0,165.9,11.1,58.0,46.0,149.0,5.0,,,,32.0,
Nelson Agholor (FA),2018,WR,PHI,16.0,165.4,10.3,97.0,64.0,32.0,4.0,,,,15.0,
Austin Ekeler (WAS),2020,RB,,10.0,165.3,16.5,65.0,54.0,116.0,3.0,,,,28.0,
Zay Jones (ARI),2018,WR,BUF,16.0,165.2,10.3,102.0,56.0,0.0,7.0,,,,18.0,
Raheem Mostert (LV),2019,RB,,16.0,165.2,10.3,22.0,14.0,137.0,10.0,,,,25.0,
Dallas Goedert (PHI),2021,TE,PHI,15.0,165.0,11.0,76.0,56.0,nan,4.0,,,,8.0,
Tank Dell (HOU),2023,WR,,11.0,165.0,15.0,75.0,47.0,51.0,7.0,,,,1.0,
Elijah Mitchell (KC),2021,RB,,12.0,165.0,13.8,20.0,19.0,207.0,6.0,,,,27.0,
Mike Gesicki (CIN),2021,TE,MIA,17.0,165.0,9.7,112.0,73.0,nan,2.0,,,,12.0,
Rashad Jennings (FA),2015,RB,,16.0,164.9,10.3,40.0,29.0,195.0,4.0,,,,21.0,
Emmanuel Sanders (FA),2020,WR,NO,14.0,164.8,11.8,82.0,61.0,12.0,5.0,,,,14.0,
Emmanuel Sanders (FA),2021,WR,BUF,14.0,164.8,11.8,72.0,42.0,12.0,5.0,,,,11.0,
James Conner (ARI),2020,RB,,13.0,164.6,12.7,43.0,35.0,169.0,6.0,,,,38.0,
Cooper Kupp (SEA),2023,WR,LA,12.0,164.4,13.7,95.0,59.0,-3.0,5.0,,,,26.0,
George Pickens (DAL),2024,WR,PIT,14.0,164.4,11.7,103.0,59.0,-6.0,3.0,,,,16.0,
Hunter Henry (NE),2021,TE,NE,16.0,164.3,10.3,75.0,50.0,nan,9.0,,,,19.0,
Jason Witten (FA),2015,TE,DAL,16.0,164.3,10.3,104.0,77.0,nan,3.0,,,,13.0,
T.Y. Hilton (FA),2020,WR,IND,15.0,164.2,10.9,93.0,56.0,0.0,5.0,,,,11.0,
Myles Gaskin (FA),2020,RB,,10.0,164.2,16.4,47.0,41.0,142.0,5.0,,,,43.0,
T.Y. Hilton (FA),2021,WR,IND,10.0,164.2,10.9,37.0,23.0,0.0,5.0,,,,4.0,
Dawson Knox (BUF),2021,TE,BUF,15.0,164.1,10.9,71.0,49.0,nan,9.0,,,,21.0,
Christian Watson (GB),2022,WR,GB,14.0,164.1,11.7,65.0,41.0,80.0,7.0,,,,17.0,
Keenan Allen (FA),2022,WR,LAC,10.0,164.0,16.4,89.0,66.0,8.0,4.0,,,,20.0,
Tarik Cohen (FA),2019,RB,,16.0,163.9,10.2,104.0,79.0,64.0,3.0,,,,16.0,
Robert Woods (PIT),2017,WR,LA,12.0,163.3,13.6,85.0,56.0,12.0,5.0,,,,12.0,
Tucker Kraft (GB),2024,TE,GB,17.0,163.3,9.6,70.0,50.0,nan,7.0,,,,18.0,
Diontae Johnson (CLE),2019,WR,ARI,16.0,163.1,10.2,92.0,59.0,41.0,5.0,,,,23.0,
Austin Hooper (NE),2018,TE,ATL,16.0,163.0,10.2,88.0,71.0,nan,4.0,,,,15.0,
Dontrelle Inman (FA),2016,WR,LAC,16.0,163.0,10.2,97.0,58.0,0.0,4.0,,,,7.0,
Jonathan Stewart (FA),2015,RB,,13.0,162.8,12.5,21.0,16.0,242.0,7.0,,,,58.0,
Tony Pollard (TEN),2021,RB,,15.0,162.6,10.8,46.0,39.0,130.0,2.0,,,,25.0,
Matt Breida (FA),2018,RB,,14.0,162.5,11.6,31.0,27.0,153.0,5.0,,,,27.0,
Sterling Shepard (TB),2020,WR,NYG,12.0,162.5,13.5,90.0,66.0,49.0,3.0,,,,13.0,
Darren Sproles (FA),2016,RB,,15.0,162.5,10.8,71.0,52.0,94.0,4.0,,,,31.0,
Sterling Shepard (TB),2021,WR,NYG,7.0,162.5,13.5,53.0,36.0,49.0,3.0,,,,9.0,
Robbie Chosen (FA),2019,WR,,16.0,162.3,10.1,96.0,52.0,4.0,5.0,,,,,
Theo Riddick (FA),2016,RB,,10.0,161.8,16.2,67.0,53.0,92.0,6.0,,,,22.0,
James White (FA),2016,RB,,16.0,161.7,10.1,86.0,60.0,39.0,5.0,,,,23.0,
Keenan Allen (FA),2015,WR,LAC,8.0,161.5,20.2,89.0,67.0,0.0,4.0,,,,8.0,
Alec Pierce (IND),2024,WR,IND,16.0,161.4,10.1,69.0,37.0,0.0,7.0,,,,6.0,
Gabe Davis (FA),2023,WR,BUF,17.0,161.4,9.5,81.0,45.0,-2.0,7.0,,,,13.0,
Ronnie Hillman (FA),2015,RB,,16.0,161.4,10.1,35.0,24.0,207.0,7.0,,,,42.0,
Mike Williams (FA),2019,WR,LAC,15.0,161.3,10.8,90.0,49.0,2.0,2.0,,,,4.0,
Tim Patrick (DET),2020,WR,DEN,15.0,161.2,10.7,79.0,51.0,0.0,6.0,,,,11.0,
Tim Patrick (DET),2021,WR,DEN,16.0,161.2,10.7,85.0,53.0,0.0,6.0,,,,11.0,
Dion Lewis (FA),2018,RB,,16.0,160.7,10.0,67.0,59.0,155.0,2.0,,,,31.0,
Tyler Higbee (LAR),2019,TE,LA,15.0,160.4,10.7,89.0,69.0,nan,3.0,,,,19.0,
Jamison Crowder (FA),2017,WR,WAS,15.0,160.3,10.7,103.0,66.0,34.0,3.0,,,,14.0,
Richard Rodgers (FA),2015,TE,GB,16.0,160.1,10.0,85.0,58.0,nan,8.0,,,,16.0,
Ted Ginn Jr. (FA),2017,WR,,15.0,159.6,10.6,70.0,53.0,39.0,4.0,,,,,
Courtland Sutton (DEN),2022,WR,DEN,15.0,159.4,10.6,109.0,64.0,5.0,2.0,,,,14.0,
Tyler Allgeier (ATL),2022,RB,,16.0,159.4,10.0,17.0,16.0,210.0,4.0,,,,40.0,
Randall Cobb (FA),2017,WR,GB,15.0,159.4,10.6,92.0,66.0,17.0,4.0,,,,9.0,
Mike Gesicki (CIN),2020,TE,MIA,15.0,159.3,10.6,85.0,53.0,nan,6.0,,,,16.0,
Ted Ginn Jr. (FA),2016,WR,,16.0,159.0,9.9,95.0,54.0,98.0,4.0,,,,,
Noah Fant (CIN),2021,TE,DEN,16.0,159.0,9.9,90.0,68.0,nan,4.0,,,,17.0,
Alshon Jeffery (FA),2015,WR,CHI,9.0,158.7,17.6,94.0,54.0,0.0,4.0,,,,16.0,
Shane Vereen (FA),2015,RB,,16.0,158.4,9.9,81.0,59.0,61.0,4.0,,,,20.0,
Amari Cooper (FA),2017,WR,LV,14.0,158.4,11.3,96.0,48.0,4.0,7.0,,,,10.0,
Kyle Rudolph (FA),2017,TE,MIN,16.0,158.2,9.9,81.0,57.0,nan,8.0,,,,18.0,
Giovani Bernard (FA),2020,RB,,16.0,158.1,9.9,59.0,47.0,124.0,6.0,,,,30.0,
Javonte Williams (DAL),2024,RB,,17.0,157.9,9.3,70.0,52.0,139.0,4.0,,,,32.0,
Jerry Jeudy (CLE),2020,WR,DEN,16.0,157.6,9.9,113.0,52.0,0.0,3.0,,,,10.0,
Jerry Jeudy (CLE),2021,WR,DEN,10.0,157.6,9.9,56.0,38.0,0.0,3.0,,,,3.0,
Latavius Murray (FA),2019,RB,,16.0,157.2,9.8,43.0,34.0,146.0,6.0,,,,32.0,
Curtis Samuel (BUF),2023,WR,WAS,16.0,157.2,9.8,91.0,62.0,39.0,4.0,,,,20.0,
Josh Downs (IND),2023,WR,IND,17.0,157.1,9.2,98.0,68.0,0.0,2.0,,,,10.0,
Laviska Shenault Jr. (BUF),2020,WR,,14.0,157.1,11.2,79.0,58.0,91.0,5.0,,,,,
Laviska Shenault Jr. (BUF),2021,WR,,16.0,157.1,11.2,100.0,63.0,91.0,5.0,,,,,
DJ Moore (CHI),2018,WR,SEA,16.0,157.0,9.8,82.0,55.0,172.0,2.0,,,,9.0,
Dede Westbrook (FA),2019,WR,JAX,15.0,156.7,10.4,101.0,66.0,27.0,3.0,,,,13.0,
Jordy Nelson (FA),2018,WR,LV,15.0,156.7,10.4,88.0,63.0,-2.0,3.0,,,,8.0,
Demaryius Thomas (FA),2018,WR,,15.0,156.7,10.4,89.0,59.0,0.0,5.0,,,,1.0,
Jalen Richard (FA),2018,RB,,16.0,156.6,9.8,81.0,68.0,55.0,1.0,,,,13.0,
Chris Conley (FA),2019,WR,JAX,16.0,156.5,9.8,90.0,47.0,0.0,5.0,,,,11.0,
Robbie Chosen (FA),2018,WR,,14.0,156.4,11.2,94.0,50.0,-8.0,6.0,,,,,
Jonathan Taylor (IND),2023,RB,,10.0,156.4,15.6,23.0,19.0,169.0,8.0,,,,38.0,
Rishard Matthews (FA),2017,WR,TEN,14.0,156.2,11.2,87.0,53.0,-3.0,4.0,,,,10.0,
Marquise Brown (KC),2022,WR,ARI,12.0,156.0,13.0,107.0,67.0,1.0,3.0,,,,6.0,
T.J. Yeldon (FA),2015,RB,,12.0,155.9,13.0,46.0,36.0,182.0,3.0,,,,28.0,
Brandon Marshall (FA),2016,WR,NYJ,15.0,155.8,10.4,128.0,59.0,0.0,3.0,,,,21.0,
K.J. Osborn (WAS),2022,WR,MIN,17.0,155.6,9.2,90.0,60.0,6.0,5.0,,,,12.0,
Rashid Shaheed (NO),2023,WR,NO,16.0,155.6,9.7,75.0,46.0,37.0,5.0,,,,7.0,
Keelan Cole Sr. (FA),2021,WR,,14.0,155.4,9.7,51.0,28.0,2.0,5.0,,,,,
Keelan Cole Sr. (FA),2020,WR,,16.0,155.4,9.7,88.0,55.0,2.0,5.0,,,,,
Kareem Hunt (KC),2024,RB,,13.0,155.4,12.0,32.0,23.0,200.0,7.0,,,,57.0,
Randall Cobb (FA),2019,WR,DAL,15.0,154.9,10.3,83.0,55.0,11.0,3.0,,,,8.0,
Cordarrelle Patterson (FA),2022,RB,,13.0,154.7,11.9,31.0,21.0,144.0,8.0,,,,35.0,
DeVante Parker (FA),2016,WR,MIA,15.0,154.4,10.3,87.0,56.0,0.0,4.0,,,,11.0,
Michael Carter (ARI),2021,RB,,14.0,154.4,11.0,55.0,36.0,147.0,4.0,,,,6.0,
Mack Hollins (NE),2022,WR,LV,17.0,154.2,9.1,94.0,57.0,40.0,4.0,,,,12.0,
Latavius Murray (FA),2022,RB,,14.0,154.2,11.0,35.0,27.0,171.0,6.0,,,,13.0,
Terrance Williams (FA),2015,WR,DAL,16.0,154.0,9.6,93.0,52.0,0.0,3.0,,,,11.0,
Tyjae Spears (TEN),2023,RB,,17.0,153.8,9.0,70.0,52.0,100.0,3.0,,,,17.0,
Mike Williams (FA),2021,WR,LAC,16.0,153.7,10.2,129.0,76.0,1.0,5.0,,,,1.0,
Mike Williams (FA),2020,WR,LAC,15.0,153.7,10.2,85.0,48.0,1.0,5.0,,,,3.0,
DJ Chark Jr. (ATL),2020,WR,,13.0,153.6,11.8,93.0,53.0,0.0,5.0,,,,,
DJ Chark Jr. (ATL),2021,WR,,3.0,153.6,11.8,22.0,7.0,0.0,5.0,,,,,
Deebo Samuel Sr. (WAS),2024,WR,,15.0,153.6,10.2,81.0,51.0,136.0,3.0,,,,,
Tyler Lockett (TEN),2015,WR,SEA,16.0,153.4,9.6,69.0,51.0,20.0,6.0,,,,4.0,
Allen Robinson II (FA),2018,WR,,13.0,153.3,11.8,94.0,55.0,9.0,4.0,,,,,
Carlos Hyde (FA),2019,RB,,16.0,153.2,9.6,16.0,10.0,245.0,6.0,,,,41.0,
Diontae Johnson (CLE),2023,WR,PIT,13.0,152.7,11.7,87.0,51.0,0.0,5.0,,,,13.0,
Sony Michel (FA),2019,RB,,16.0,152.6,9.5,20.0,12.0,247.0,7.0,,,,53.0,
