Player,Year,Position,Team,Games Played,Fantasy Points,Fantasy PPG,Targets,Receptions,Carries,TDs,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Nico Collins (HOU),2023,WR,HOU,15.0,260.4,17.4,109.0,80.0,7.0,8.0,,,,19.0,
Keenan Allen (FA),2018,WR,LAC,16.0,260.1,16.3,136.0,97.0,75.0,6.0,,,,17.0,
Jarvis Landry (FA),2017,WR,MIA,16.0,260.0,16.3,161.0,112.0,-7.0,9.0,,,,23.0,
Julio Jones (FA),2016,WR,ATL,14.0,259.9,18.6,129.0,83.0,0.0,6.0,,,,15.0,
Leonard Fournette (FA),2019,RB,,15.0,259.4,17.3,100.0,76.0,265.0,3.0,,,,58.0,
Jaylen Waddle (MIA),2022,WR,MIA,17.0,259.2,15.2,117.0,75.0,26.0,8.0,,,,11.0,
Aaron Jones Sr. (MIN),2020,RB,,14.0,258.9,18.5,63.0,47.0,201.0,11.0,,,,,
George Kittle (SF),2018,TE,SF,16.0,258.7,16.2,136.0,88.0,nan,5.0,,,,21.0,
Michael Thomas (FA),2017,WR,NO,16.0,258.5,16.2,149.0,104.0,0.0,5.0,,,,21.0,
James Conner (ARI),2021,RB,,15.0,257.7,17.2,39.0,37.0,202.0,18.0,,,,46.0,
Julian Edelman (FA),2019,WR,NE,16.0,256.3,16.0,153.0,100.0,27.0,6.0,,,,24.0,
Michael Thomas (FA),2016,WR,NO,15.0,255.7,17.0,121.0,92.0,0.0,9.0,,,,19.0,
Rob Gronkowski (FA),2015,TE,NE,15.0,255.6,17.0,120.0,72.0,nan,11.0,,,,25.0,
Leonard Fournette (FA),2021,RB,,14.0,255.6,18.3,84.0,69.0,180.0,10.0,,,,62.0,
Nick Chubb (HOU),2019,RB,,16.0,255.2,16.0,49.0,36.0,298.0,8.0,,,,55.0,
Kyren Williams (LAR),2023,RB,,12.0,255.0,21.3,48.0,32.0,228.0,15.0,,,,71.0,
Chase Brown (CIN),2024,RB,,16.0,255.0,15.9,65.0,54.0,229.0,11.0,,,,60.0,
Allen Robinson II (FA),2019,WR,,16.0,254.9,15.9,154.0,98.0,2.0,7.0,,,,,
DeVonta Smith (PHI),2022,WR,PHI,17.0,254.6,15.0,136.0,95.0,0.0,7.0,,,,18.0,
Travis Kelce (KC),2019,TE,KC,16.0,254.3,15.9,136.0,97.0,nan,5.0,,,,26.0,
Adam Thielen (CAR),2020,WR,MIN,15.0,254.0,16.9,108.0,74.0,15.0,14.0,,,,23.0,
Adam Thielen (CAR),2021,WR,MIN,13.0,254.0,16.9,95.0,67.0,15.0,14.0,,,,15.0,
